,Site,Cluster,Access Condition,Date of arrival,Manufacturing date,Nodes,#,Name,Cores,Architecture,Memory,Storage,Network,Accelerators
0,Grenoble,dahu,,2018-03-22,2017-12-12,32,2,Intel Xeon Gold 6130,16 cores/CPU,x86_64,192 GiB,240 GB SSD + 480 GB SSD + 4.0 TB HDD,10 Gbps + 100 Gbps Omni-Path,
3,Grenoble,troll,exotic job type,2019-12-23,2019-11-21,4,2,Intel Xeon Gold 5218,16 cores/CPU,x86_64,384 GiB + 1.5 TiB PMEM,480 GB SSD + 1.6 TB SSD,25 Gbps (SR‑IOV) + 100 Gbps Omni-Path,
4,Grenoble,yeti,exotic job type,2018-01-16,2017-12-26,4,4,Intel Xeon Gold 6130,16 cores/CPU,x86_64,768 GiB,480 GB SSD + 3 x 2.0 TB HDD* + 2 x 1.6 TB SSD,10 Gbps + 100 Gbps Omni-Path,
6,Lille,chifflot,,2018-08-01,2018-07-17,8,2,Intel Xeon Gold 6126,12 cores/CPU,x86_64,192 GiB,480 GB SSD + 480 GB SSD* + 4 x 4.0 TB HDD*,2 x 25 Gbps,[1-6]: 2 x Nvidia Tesla P100 (16 GiB)[7-8]: 2 x Nvidia Tesla V100 (32 GiB)
7,Lille,chirop,,2024-01-25,2023-05-02,5,2,Intel Xeon Platinum 8358,32 cores/CPU,x86_64,512 GiB,1.92 TB SSD + 2 x 3.84 TB SSD,2 x 25 Gbps,
8,Luxembourg,petitprince,,2013-09-10,2012-10-30,11,2,Intel Xeon E5-2630L,6 cores/CPU,x86_64,32 GiB,250 GB HDD,2 x 10 Gbps,
9,Lyon,gemini,exotic job type,2019-09-01,2019-06-12,2,2,Intel Xeon E5-2698 v4,20 cores/CPU,x86_64,512 GiB,480 GB SSD + 4 x 1.92 TB SSD*,10 Gbps (SR‑IOV) + 3 x 100 Gbps InfiniBand,8 x Nvidia Tesla V100 (32 GiB)
10,Lyon,hercule,,2012-10-02,2012-07-19,4,2,Intel Xeon E5-2620,6 cores/CPU,x86_64,32 GiB,2.0 TB HDD + 2 x 2.0 TB HDD,10 Gbps (SR‑IOV),
12,Lyon,nova,,2016-12-01,2016-10-28,22,2,Intel Xeon E5-2620 v4,8 cores/CPU,x86_64,64 GiB,598 GB HDD,10 Gbps (SR‑IOV),
13,Lyon,orion,,2012-09-14,2012-07-16,3,2,Intel Xeon E5-2630,6 cores/CPU,x86_64,32 GiB,299 GB HDD,10 Gbps (SR‑IOV),Nvidia Tesla M2075 (5 GiB)**
17,Lyon,taurus,,2012-09-14,2012-07-16,12,2,Intel Xeon E5-2630,6 cores/CPU,x86_64,32 GiB,299 GB HDD,10 Gbps (SR‑IOV),
18,Nancy,gros,,2019-09-04,2019-07-16,124,1,Intel Xeon Gold 5220,18 cores/CPU,x86_64,96 GiB,480 GB SSD + 960 GB SSD*,2 x 25 Gbps (SR‑IOV),
20,Nantes,econome,,2014-04-16,2012-06-28,22,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,64 GiB,2.0 TB HDD,10 Gbps (SR‑IOV),
21,Nantes,ecotype,,2017-10-16,2017-07-11,48,2,Intel Xeon E5-2630L v4,10 cores/CPU,x86_64,128 GiB,400 GB SSD,10 Gbps (SR‑IOV),
22,Rennes,parasilo,,2015-01-13,2015-01-13,27,2,Intel Xeon E5-2630 v3,8 cores/CPU,x86_64,128 GiB,600 GB HDD + 4 x 600 GB HDD* + 200 GB SSD*,2 x 10 Gbps (SR‑IOV),
23,Rennes,paravance,,2015-01-13,2015-01-13,72,2,Intel Xeon E5-2630 v3,8 cores/CPU,x86_64,128 GiB,600 GB HDD + 600 GB HDD,2 x 10 Gbps (SR‑IOV),
24,Sophia,uvb,,2011-01-04,2011-01-04,30,2,Intel Xeon X5670,6 cores/CPU,x86_64,96 GiB,250 GB HDD,1 Gbps (SR‑IOV) + 40 Gbps InfiniBand,
26,Toulouse,montcalm,,2022-12-01,2022-11-06,10,2,Intel Xeon Silver 4314,16 cores/CPU,x86_64,256 GiB,960 GB SSD,10 Gbps,
27,Nancy,graffiti,production queue,2019-06-07,2019-05-27,13,2,Intel Xeon Silver 4110,8 cores/CPU,x86_64,128 GiB,479 GB HDD,10 Gbps,[1-12]: 4 x Nvidia RTX 2080 Ti (11 GiB)13: 4 x Nvidia Quadro RTX 6000 (23 GiB)
28,Nancy,grappe,production queue,2020-08-20,2020-07-09,16,2,Intel Xeon Gold 5218R,20 cores/CPU,x86_64,96 GiB,480 GB SSD + 8.0 TB HDD*,25 Gbps,
30,Nancy,grele,production queue,2017-06-26,2017-06-07,14,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,299 GB HDD + 299 GB HDD,10 Gbps (SR‑IOV) + 100 Gbps Omni-Path,2 x Nvidia GTX 1080 Ti (11 GiB)
31,Nancy,grosminet,production queue,2023-12-05,2023-11-30,1,4,Intel Xeon Gold 6240L,18 cores/CPU,x86_64,6.0 TiB,1.6 TB SSD + 7 x 1.6 TB SSD,25 Gbps (SR‑IOV),
32,Nancy,grostiti,production queue,2024-01-10,2015-10-23,1,4,Intel Xeon E7-4850 v3,14 cores/CPU,x86_64,1.5 TiB,599 GB HDD + 4.0 TB HDD,10 Gbps (SR‑IOV) + 100 Gbps Omni-Path,
35,Nancy,grvingt,production queue,2018-04-11,2018-04-01,64,2,Intel Xeon Gold 6130,16 cores/CPU,x86_64,192 GiB,1.0 TB HDD,10 Gbps + 100 Gbps Omni-Path,
36,Rennes,abacus1,production queue,2023-10-24,2016-07-27,1,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,299 GB HDD,1 Gbps,2 x Nvidia Tesla P100 (16 GiB)
37,Rennes,abacus2,production queue,2023-11-10,2017-08-15,1,2,Intel Xeon E5-2609 v4,8 cores/CPU,x86_64,64 GiB,299 GB HDD,1 Gbps (SR‑IOV),2 x Nvidia Tesla P100 (16 GiB)
38,Rennes,abacus3,production queue,2023-10-13,2017-07-05,1,2,Intel Xeon E5-2620 v4,8 cores/CPU,x86_64,128 GiB,299 GB HDD + 959 GB HDD + 8.0 TB HDD,1 Gbps,4 x Nvidia A5000 (24 GiB)
39,Rennes,abacus4,production queue,2023-10-09,2017-11-13,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,128 GiB,959 GB HDD,1 Gbps,2 x Nvidia A40 (45 GiB)
40,Rennes,abacus5,production queue,2023-10-24,2018-05-06,1,2,Intel Xeon Gold 5115,10 cores/CPU,x86_64,192 GiB,1.2 TB HDD,1 Gbps,2 x Nvidia Tesla P100 (16 GiB)
41,Rennes,abacus8,production queue,2023-11-17,2018-11-09,1,2,Intel Xeon Gold 5120,14 cores/CPU,x86_64,192 GiB,512 GB SSD + 512 GB SSD,1 Gbps,2 x Nvidia Quadro P6000 (24 GiB)
42,Rennes,abacus9,production queue,2023-11-06,2018-12-12,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,239 GB HDD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
43,Rennes,abacus10,production queue,2023-10-30,2018-12-03,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,959 GB HDD + 299 GB HDD + 6.0 TB HDD,1 Gbps,4 x Nvidia A5000 (24 GiB)
44,Rennes,abacus11,production queue,2023-10-24,2018-12-03,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,299 GB HDD + 959 GB HDD + 8.0 TB HDD,1 Gbps,4 x Nvidia RTX 2080 Ti (11 GiB)
45,Rennes,abacus12,production queue,2023-11-17,2019-10-28,1,2,Intel Xeon Gold 6248,20 cores/CPU,x86_64,384 GiB,299 GB HDD,10 Gbps,3 x Nvidia Tesla V100 (32 GiB)
46,Rennes,abacus14,production queue,2023-11-08,2019-09-26,1,2,Intel Xeon Silver 4214,12 cores/CPU,x86_64,384 GiB,240 GB SSD + 240 GB SSD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
47,Rennes,abacus16,production queue,2023-10-16,2019-09-26,1,2,Intel Xeon Silver 4214,12 cores/CPU,x86_64,384 GiB,239 GB HDD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
50,Rennes,abacus19,production queue,2023-11-17,2020-11-12,1,2,Intel Xeon Gold 5220R,24 cores/CPU,x86_64,384 GiB,960 GB SSD + 240 GB SSD,1 Gbps,2 x Nvidia Quadro RTX 8000 (45 GiB)
51,Rennes,abacus20,production queue,2023-10-11,2020-12-29,1,2,Intel Xeon Gold 5220R,24 cores/CPU,x86_64,768 GiB,480 GB SSD + 1.92 TB SSD,1 Gbps,4 x Nvidia Quadro RTX 8000 (45 GiB)
55,Rennes,paranoia,production queue,2014-02-21,2013-11-22,7,2,Intel Xeon E5-2660 v2,10 cores/CPU,x86_64,128 GiB,600 GB HDD + 4 x 600 GB HDD,1 Gbps (SR‑IOV) + 2 x 10 Gbps (SR‑IOV),
56,Rennes,roazhon1,production queue,2023-10-24,2018-09-20,1,2,Intel Xeon Gold 6154,18 cores/CPU,x86_64,384 GiB,799 GB HDD,1 Gbps,
57,Rennes,roazhon2,production queue,2023-09-06,2018-10-22,1,2,Intel Xeon Gold 5120,14 cores/CPU,x86_64,256 GiB,799 GB HDD + 16 GB HDD,1 Gbps,
58,Rennes,roazhon3,production queue,2023-10-24,2018-11-12,1,2,Intel Xeon Gold 6142,16 cores/CPU,x86_64,1.0 TiB,1.6 TB SSD + 1.6 TB SSD,10 Gbps,
60,Rennes,roazhon5,production queue,2023-10-13,2015-04-06,11,2,Intel Xeon E5-2660 v3,10 cores/CPU,x86_64,128 GiB,598 GB HDD,1 Gbps (SR‑IOV),
61,Rennes,roazhon6,production queue,2023-10-24,2017-10-25,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,192 GiB,1.2 TB HDD,1 Gbps (SR‑IOV),
62,Rennes,roazhon7,production queue,2023-12-20,2017-06-27,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,1.0 TB HDD,10 Gbps (SR‑IOV),
63,Rennes,roazhon8,production queue,2023-10-24,2017-06-22,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,256 GiB,1.0 TB HDD,10 Gbps (SR‑IOV),
64,Rennes,roazhon9,production queue,2023-10-09,2017-12-15,4,2,Intel Xeon Gold 5118,12 cores/CPU,x86_64,512 GiB,1.2 TB HDD,10 Gbps,
65,Rennes,roazhon10,production queue,2023-10-24,2019-09-25,4,2,Intel Xeon Gold 5220,18 cores/CPU,x86_64,384 GiB,239 GB HDD + 1.92 TB HDD,10 Gbps,
66,Rennes,roazhon11,production queue,2023-10-24,2012-09-14,3,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,64 GiB,597 GB HDD,1 Gbps (SR‑IOV),
67,Rennes,roazhon12,production queue,2023-10-24,2012-09-14,4,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,128 GiB,597 GB HDD,1 Gbps (SR‑IOV),
68,Rennes,roazhon13,production queue,2023-10-06,2019-09-25,8,2,Intel Xeon Gold 6254,18 cores/CPU,x86_64,384 GiB,1.0 TB HDD,10 Gbps,
69,Nancy,graffiti,production queue,2019-06-07,2019-05-27,13,2,Intel Xeon Silver 4110,8 cores/CPU,x86_64,128 GiB,479 GB HDD,10 Gbps,[1-12]: 4 x Nvidia RTX 2080 Ti (11 GiB)13: 4 x Nvidia Quadro RTX 6000 (23 GiB)
70,Nancy,grappe,production queue,2020-08-20,2020-07-09,16,2,Intel Xeon Gold 5218R,20 cores/CPU,x86_64,96 GiB,480 GB SSD + 8.0 TB HDD*,25 Gbps,
72,Nancy,grele,production queue,2017-06-26,2017-06-07,14,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,299 GB HDD + 299 GB HDD,10 Gbps (SR‑IOV) + 100 Gbps Omni-Path,2 x Nvidia GTX 1080 Ti (11 GiB)
73,Nancy,grosminet,production queue,2023-12-05,2023-11-30,1,4,Intel Xeon Gold 6240L,18 cores/CPU,x86_64,6.0 TiB,1.6 TB SSD + 7 x 1.6 TB SSD,25 Gbps (SR‑IOV),
74,Nancy,grostiti,production queue,2024-01-10,2015-10-23,1,4,Intel Xeon E7-4850 v3,14 cores/CPU,x86_64,1.5 TiB,599 GB HDD + 4.0 TB HDD,10 Gbps (SR‑IOV) + 100 Gbps Omni-Path,
77,Nancy,grvingt,production queue,2018-04-11,2018-04-01,64,2,Intel Xeon Gold 6130,16 cores/CPU,x86_64,192 GiB,1.0 TB HDD,10 Gbps + 100 Gbps Omni-Path,
78,Rennes,abacus1,production queue,2023-10-24,2016-07-27,1,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,299 GB HDD,1 Gbps,2 x Nvidia Tesla P100 (16 GiB)
79,Rennes,abacus2,production queue,2023-11-10,2017-08-15,1,2,Intel Xeon E5-2609 v4,8 cores/CPU,x86_64,64 GiB,299 GB HDD,1 Gbps (SR‑IOV),2 x Nvidia Tesla P100 (16 GiB)
80,Rennes,abacus3,production queue,2023-10-13,2017-07-05,1,2,Intel Xeon E5-2620 v4,8 cores/CPU,x86_64,128 GiB,299 GB HDD + 959 GB HDD + 8.0 TB HDD,1 Gbps,4 x Nvidia A5000 (24 GiB)
81,Rennes,abacus4,production queue,2023-10-09,2017-11-13,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,128 GiB,959 GB HDD,1 Gbps,2 x Nvidia A40 (45 GiB)
82,Rennes,abacus5,production queue,2023-10-24,2018-05-06,1,2,Intel Xeon Gold 5115,10 cores/CPU,x86_64,192 GiB,1.2 TB HDD,1 Gbps,2 x Nvidia Tesla P100 (16 GiB)
83,Rennes,abacus8,production queue,2023-11-17,2018-11-09,1,2,Intel Xeon Gold 5120,14 cores/CPU,x86_64,192 GiB,512 GB SSD + 512 GB SSD,1 Gbps,2 x Nvidia Quadro P6000 (24 GiB)
84,Rennes,abacus9,production queue,2023-11-06,2018-12-12,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,239 GB HDD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
85,Rennes,abacus10,production queue,2023-10-30,2018-12-03,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,959 GB HDD + 299 GB HDD + 6.0 TB HDD,1 Gbps,4 x Nvidia A5000 (24 GiB)
86,Rennes,abacus11,production queue,2023-10-24,2018-12-03,1,2,Intel Xeon Silver 4114,10 cores/CPU,x86_64,192 GiB,299 GB HDD + 959 GB HDD + 8.0 TB HDD,1 Gbps,4 x Nvidia RTX 2080 Ti (11 GiB)
87,Rennes,abacus12,production queue,2023-11-17,2019-10-28,1,2,Intel Xeon Gold 6248,20 cores/CPU,x86_64,384 GiB,299 GB HDD,10 Gbps,3 x Nvidia Tesla V100 (32 GiB)
88,Rennes,abacus14,production queue,2023-11-08,2019-09-26,1,2,Intel Xeon Silver 4214,12 cores/CPU,x86_64,384 GiB,240 GB SSD + 240 GB SSD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
89,Rennes,abacus16,production queue,2023-10-16,2019-09-26,1,2,Intel Xeon Silver 4214,12 cores/CPU,x86_64,384 GiB,239 GB HDD,10 Gbps,4 x Nvidia Tesla V100 (32 GiB)
92,Rennes,abacus19,production queue,2023-11-17,2020-11-12,1,2,Intel Xeon Gold 5220R,24 cores/CPU,x86_64,384 GiB,960 GB SSD + 240 GB SSD,1 Gbps,2 x Nvidia Quadro RTX 8000 (45 GiB)
93,Rennes,abacus20,production queue,2023-10-11,2020-12-29,1,2,Intel Xeon Gold 5220R,24 cores/CPU,x86_64,768 GiB,480 GB SSD + 1.92 TB SSD,1 Gbps,4 x Nvidia Quadro RTX 8000 (45 GiB)
97,Rennes,paranoia,production queue,2014-02-21,2013-11-22,7,2,Intel Xeon E5-2660 v2,10 cores/CPU,x86_64,128 GiB,600 GB HDD + 4 x 600 GB HDD,1 Gbps (SR‑IOV) + 2 x 10 Gbps (SR‑IOV),
98,Rennes,roazhon1,production queue,2023-10-24,2018-09-20,1,2,Intel Xeon Gold 6154,18 cores/CPU,x86_64,384 GiB,799 GB HDD,1 Gbps,
99,Rennes,roazhon2,production queue,2023-09-06,2018-10-22,1,2,Intel Xeon Gold 5120,14 cores/CPU,x86_64,256 GiB,799 GB HDD + 16 GB HDD,1 Gbps,
100,Rennes,roazhon3,production queue,2023-10-24,2018-11-12,1,2,Intel Xeon Gold 6142,16 cores/CPU,x86_64,1.0 TiB,1.6 TB SSD + 1.6 TB SSD,10 Gbps,
102,Rennes,roazhon5,production queue,2023-10-13,2015-04-06,11,2,Intel Xeon E5-2660 v3,10 cores/CPU,x86_64,128 GiB,598 GB HDD,1 Gbps (SR‑IOV),
103,Rennes,roazhon6,production queue,2023-10-24,2017-10-25,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,192 GiB,1.2 TB HDD,1 Gbps (SR‑IOV),
104,Rennes,roazhon7,production queue,2023-12-20,2017-06-27,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,128 GiB,1.0 TB HDD,10 Gbps (SR‑IOV),
105,Rennes,roazhon8,production queue,2023-10-24,2017-06-22,4,2,Intel Xeon E5-2650 v4,12 cores/CPU,x86_64,256 GiB,1.0 TB HDD,10 Gbps (SR‑IOV),
106,Rennes,roazhon9,production queue,2023-10-09,2017-12-15,4,2,Intel Xeon Gold 5118,12 cores/CPU,x86_64,512 GiB,1.2 TB HDD,10 Gbps,
107,Rennes,roazhon10,production queue,2023-10-24,2019-09-25,4,2,Intel Xeon Gold 5220,18 cores/CPU,x86_64,384 GiB,239 GB HDD + 1.92 TB HDD,10 Gbps,
108,Rennes,roazhon11,production queue,2023-10-24,2012-09-14,3,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,64 GiB,597 GB HDD,1 Gbps (SR‑IOV),
109,Rennes,roazhon12,production queue,2023-10-24,2012-09-14,4,2,Intel Xeon E5-2660,8 cores/CPU,x86_64,128 GiB,597 GB HDD,1 Gbps (SR‑IOV),
110,Rennes,roazhon13,production queue,2023-10-06,2019-09-25,8,2,Intel Xeon Gold 6254,18 cores/CPU,x86_64,384 GiB,1.0 TB HDD,10 Gbps,
