,Product Collection,Processor Number,Code Name,Total Cores,Launch Date,Intel® VT-x with Extended Page Tables (EPT) ‡,Vertical Segment,Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Intel® Virtualization Technology (VT-x) ‡,Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Quarter,Year
0,5th Generation Intel® Xeon® Scalable Processors,3508U,Products formerly Sapphire Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
1,5th Generation Intel® Xeon® Scalable Processors,5512U,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
2,5th Generation Intel® Xeon® Scalable Processors,5515+,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
3,5th Generation Intel® Xeon® Scalable Processors,5520+,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
4,5th Generation Intel® Xeon® Scalable Processors,6526Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
5,5th Generation Intel® Xeon® Scalable Processors,6530,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
6,5th Generation Intel® Xeon® Scalable Processors,6534,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
7,5th Generation Intel® Xeon® Scalable Processors,6538N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
8,5th Generation Intel® Xeon® Scalable Processors,6538Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
9,5th Generation Intel® Xeon® Scalable Processors,6542Y,Products formerly Emerald Rapids,24,Q4'23,Yes,Server,nan,Yes,Yes,4,23
10,5th Generation Intel® Xeon® Scalable Processors,6544Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
11,5th Generation Intel® Xeon® Scalable Processors,6548N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
12,5th Generation Intel® Xeon® Scalable Processors,6548Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
13,5th Generation Intel® Xeon® Scalable Processors,6554S,Products formerly Emerald Rapids,36,Q4'23,Yes,Server,nan,Yes,Yes,4,23
14,5th Generation Intel® Xeon® Scalable Processors,6558Q,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
15,5th Generation Intel® Xeon® Scalable Processors,8558,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
16,5th Generation Intel® Xeon® Scalable Processors,8558P,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
17,5th Generation Intel® Xeon® Scalable Processors,8558U,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
18,5th Generation Intel® Xeon® Scalable Processors,8562Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
19,5th Generation Intel® Xeon® Scalable Processors,8568Y+,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
20,5th Generation Intel® Xeon® Scalable Processors,8570,Products formerly Emerald Rapids,56,Q4'23,Yes,Server,nan,Yes,Yes,4,23
21,5th Generation Intel® Xeon® Scalable Processors,8571N,Products formerly Emerald Rapids,52,Q4'23,Yes,Server,nan,Yes,Yes,4,23
22,5th Generation Intel® Xeon® Scalable Processors,8580,Products formerly Emerald Rapids,60,Q4'23,Yes,Server,nan,Yes,Yes,4,23
23,5th Generation Intel® Xeon® Scalable Processors,8581V,Products formerly Emerald Rapids,60,Q4'23,Yes,Server,nan,Yes,Yes,4,23
24,5th Generation Intel® Xeon® Scalable Processors,8592+,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
25,5th Generation Intel® Xeon® Scalable Processors,8592V,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
26,5th Generation Intel® Xeon® Scalable Processors,8593Q,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
27,5th Generation Intel® Xeon® Scalable Processors,4509Y,Products formerly Sapphire Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
28,5th Generation Intel® Xeon® Scalable Processors,4510,Products formerly Sapphire Rapids,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
29,5th Generation Intel® Xeon® Scalable Processors,4510T,Products formerly Sapphire Rapids,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
30,5th Generation Intel® Xeon® Scalable Processors,4514Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
31,5th Generation Intel® Xeon® Scalable Processors,4516Y+,Products formerly Emerald Rapids,24,Q4'23,Yes,Server,nan,Yes,Yes,4,23
32,4th Generation Intel® Xeon® Scalable Processors,5403N,Products formerly Sapphire Rapids Edge Enhanced,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
33,Intel® Xeon® E Processor,E-2414,Products formerly Raptor Lake,4,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
34,Intel® Xeon® E Processor,E-2434,Products formerly Raptor Lake,4,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
35,Intel® Xeon® E Processor,E-2436,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
36,Intel® Xeon® E Processor,E-2456,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
37,Intel® Xeon® E Processor,E-2468,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
38,Intel® Xeon® E Processor,E-2478,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
39,Intel® Xeon® E Processor,E-2486,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
40,Intel® Xeon® E Processor,E-2488,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
41,Intel® Xeon® D Processor,D-1813NT,Products formerly Ice Lake,4,Q4'23,nan,Server,nan,Yes,Yes,4,23
42,Intel® Xeon® D Processor,D-1823NT,Products formerly ICE LAKE,6,Q4'23,nan,Server,nan,Yes,Yes,4,23
43,Intel® Xeon® D Processor,D-1834,Products formerly ICE LAKE,8,Q4'23,nan,Server,nan,Yes,Yes,4,23
44,Intel® Xeon® D Processor,D-1844NT,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
45,Intel® Xeon® D Processor,D-1846,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
46,Intel® Xeon® D Processor,D-1848TER,Products formerly Ice Lake,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
47,Intel® Xeon® D Processor,D-2832NT,Products formerly ICE LAKE,8,Q4'23,nan,Server,nan,Yes,Yes,4,23
48,Intel® Xeon® D Processor,D-2843NT,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
49,Intel® Xeon® D Processor,D-2876NT,Products formerly Ice Lake,16,Q4'23,nan,Server,nan,Yes,Yes,4,23
50,Intel® Xeon® D Processor,D-2896NT,Products formerly ICE LAKE,20,Q4'23,nan,Server,nan,Yes,Yes,4,23
51,Intel® Xeon® D Processor,D-2896TER,Products formerly Ice Lake,20,Q4'23,nan,Server,nan,Yes,Yes,4,23
52,Intel® Xeon® D Processor,D-2899NT,Products formerly ICE LAKE,22,Q4'23,nan,Server,nan,Yes,Yes,4,23
53,5th Generation Intel® Xeon® Scalable Processors,3508U,Products formerly Sapphire Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
54,5th Generation Intel® Xeon® Scalable Processors,5512U,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
55,5th Generation Intel® Xeon® Scalable Processors,5515+,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
56,5th Generation Intel® Xeon® Scalable Processors,5520+,Products formerly Emerald Rapids,28,Q4'23,Yes,Server,nan,Yes,Yes,4,23
57,5th Generation Intel® Xeon® Scalable Processors,6526Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
58,5th Generation Intel® Xeon® Scalable Processors,6530,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
59,5th Generation Intel® Xeon® Scalable Processors,6534,Products formerly Emerald Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
60,5th Generation Intel® Xeon® Scalable Processors,6538N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
61,5th Generation Intel® Xeon® Scalable Processors,6538Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
62,5th Generation Intel® Xeon® Scalable Processors,6542Y,Products formerly Emerald Rapids,24,Q4'23,Yes,Server,nan,Yes,Yes,4,23
63,5th Generation Intel® Xeon® Scalable Processors,6544Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
64,5th Generation Intel® Xeon® Scalable Processors,6548N,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
65,5th Generation Intel® Xeon® Scalable Processors,6548Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
66,5th Generation Intel® Xeon® Scalable Processors,6554S,Products formerly Emerald Rapids,36,Q4'23,Yes,Server,nan,Yes,Yes,4,23
67,5th Generation Intel® Xeon® Scalable Processors,6558Q,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
68,5th Generation Intel® Xeon® Scalable Processors,8558,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
69,5th Generation Intel® Xeon® Scalable Processors,8558P,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
70,5th Generation Intel® Xeon® Scalable Processors,8558U,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
71,5th Generation Intel® Xeon® Scalable Processors,8562Y+,Products formerly Emerald Rapids,32,Q4'23,Yes,Server,nan,Yes,Yes,4,23
72,5th Generation Intel® Xeon® Scalable Processors,8568Y+,Products formerly Emerald Rapids,48,Q4'23,Yes,Server,nan,Yes,Yes,4,23
73,5th Generation Intel® Xeon® Scalable Processors,8570,Products formerly Emerald Rapids,56,Q4'23,Yes,Server,nan,Yes,Yes,4,23
74,5th Generation Intel® Xeon® Scalable Processors,8571N,Products formerly Emerald Rapids,52,Q4'23,Yes,Server,nan,Yes,Yes,4,23
75,5th Generation Intel® Xeon® Scalable Processors,8580,Products formerly Emerald Rapids,60,Q4'23,Yes,Server,nan,Yes,Yes,4,23
76,5th Generation Intel® Xeon® Scalable Processors,8581V,Products formerly Emerald Rapids,60,Q4'23,Yes,Server,nan,Yes,Yes,4,23
77,5th Generation Intel® Xeon® Scalable Processors,8592+,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
78,5th Generation Intel® Xeon® Scalable Processors,8592V,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
79,5th Generation Intel® Xeon® Scalable Processors,8593Q,Products formerly Emerald Rapids,64,Q4'23,Yes,Server,nan,Yes,Yes,4,23
80,5th Generation Intel® Xeon® Scalable Processors,4509Y,Products formerly Sapphire Rapids,8,Q4'23,Yes,Server,nan,Yes,Yes,4,23
81,5th Generation Intel® Xeon® Scalable Processors,4510,Products formerly Sapphire Rapids,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
82,5th Generation Intel® Xeon® Scalable Processors,4510T,Products formerly Sapphire Rapids,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
83,5th Generation Intel® Xeon® Scalable Processors,4514Y,Products formerly Emerald Rapids,16,Q4'23,Yes,Server,nan,Yes,Yes,4,23
84,5th Generation Intel® Xeon® Scalable Processors,4516Y+,Products formerly Emerald Rapids,24,Q4'23,Yes,Server,nan,Yes,Yes,4,23
85,4th Generation Intel® Xeon® Scalable Processors,5403N,Products formerly Sapphire Rapids Edge Enhanced,12,Q4'23,Yes,Server,nan,Yes,Yes,4,23
86,Intel® Xeon® E Processor,E-2414,Products formerly Raptor Lake,4,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
87,Intel® Xeon® E Processor,E-2434,Products formerly Raptor Lake,4,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
88,Intel® Xeon® E Processor,E-2436,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
89,Intel® Xeon® E Processor,E-2456,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
90,Intel® Xeon® E Processor,E-2468,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
91,Intel® Xeon® E Processor,E-2478,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
92,Intel® Xeon® E Processor,E-2486,Products formerly Raptor Lake,6,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
93,Intel® Xeon® E Processor,E-2488,Products formerly Raptor Lake,8,Q4'23,Yes,Server,Yes,Yes,Yes,4,23
94,Intel® Xeon® D Processor,D-1813NT,Products formerly Ice Lake,4,Q4'23,nan,Server,nan,Yes,Yes,4,23
95,Intel® Xeon® D Processor,D-1823NT,Products formerly ICE LAKE,6,Q4'23,nan,Server,nan,Yes,Yes,4,23
96,Intel® Xeon® D Processor,D-1834,Products formerly ICE LAKE,8,Q4'23,nan,Server,nan,Yes,Yes,4,23
97,Intel® Xeon® D Processor,D-1844NT,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
98,Intel® Xeon® D Processor,D-1846,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
99,Intel® Xeon® D Processor,D-1848TER,Products formerly Ice Lake,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
100,Intel® Xeon® D Processor,D-2832NT,Products formerly ICE LAKE,8,Q4'23,nan,Server,nan,Yes,Yes,4,23
101,Intel® Xeon® D Processor,D-2843NT,Products formerly ICE LAKE,10,Q4'23,nan,Server,nan,Yes,Yes,4,23
102,Intel® Xeon® D Processor,D-2876NT,Products formerly Ice Lake,16,Q4'23,nan,Server,nan,Yes,Yes,4,23
103,Intel® Xeon® D Processor,D-2896NT,Products formerly ICE LAKE,20,Q4'23,nan,Server,nan,Yes,Yes,4,23
104,Intel® Xeon® D Processor,D-2896TER,Products formerly Ice Lake,20,Q4'23,nan,Server,nan,Yes,Yes,4,23
105,Intel® Xeon® D Processor,D-2899NT,Products formerly Ice Lake,22,Q4'23,nan,Server,nan,Yes,Yes,4,23
106,4th Generation Intel® Xeon® Scalable Processors,6403N,Products formerly Sapphire Rapids Edge Enhanced,24,Q3'23,Yes,Server,nan,Yes,Yes,3,23
107,4th Generation Intel® Xeon® Scalable Processors,6423N,Products formerly Sapphire Rapids Edge Enhanced,28,Q3'23,Yes,Server,nan,Yes,Yes,3,23
108,4th Generation Intel® Xeon® Scalable Processors,6433N,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
109,4th Generation Intel® Xeon® Scalable Processors,6433NE,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
110,4th Generation Intel® Xeon® Scalable Processors,6443N,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
111,4th Generation Intel® Xeon® Scalable Processors,6403N,Products formerly Sapphire Rapids Edge Enhanced,24,Q3'23,Yes,Server,nan,Yes,Yes,3,23
112,4th Generation Intel® Xeon® Scalable Processors,6423N,Products formerly Sapphire Rapids Edge Enhanced,28,Q3'23,Yes,Server,nan,Yes,Yes,3,23
113,4th Generation Intel® Xeon® Scalable Processors,6433N,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
114,4th Generation Intel® Xeon® Scalable Processors,6433NE,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
115,4th Generation Intel® Xeon® Scalable Processors,6443N,Products formerly Sapphire Rapids Edge Enhanced,32,Q3'23,Yes,Server,nan,Yes,Yes,3,23
116,4th Generation Intel® Xeon® Scalable Processors,8444H,Products formerly Sapphire Rapids,16,Q1'23,Yes,Server,nan,Yes,Yes,1,23
117,4th Generation Intel® Xeon® Scalable Processors,8450H,Products formerly Sapphire Rapids,28,Q1'23,Yes,Server,nan,Yes,Yes,1,23
118,4th Generation Intel® Xeon® Scalable Processors,8452Y,Products formerly Sapphire Rapids,36,Q1'23,Yes,Server,nan,Yes,Yes,1,23
119,4th Generation Intel® Xeon® Scalable Processors,8454H,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
120,4th Generation Intel® Xeon® Scalable Processors,8458P,Products formerly Sapphire Rapids,44,Q1'23,Yes,Server,nan,Yes,Yes,1,23
121,4th Generation Intel® Xeon® Scalable Processors,8460H,Products formerly Sapphire Rapids,40,Q1'23,Yes,Server,nan,Yes,Yes,1,23
122,4th Generation Intel® Xeon® Scalable Processors,8460Y+,Products formerly Sapphire Rapids,40,Q1'23,Yes,Server,nan,Yes,Yes,1,23
123,4th Generation Intel® Xeon® Scalable Processors,8461V,Products formerly Sapphire Rapids,48,Q1'23,Yes,Server,nan,Yes,Yes,1,23
124,4th Generation Intel® Xeon® Scalable Processors,8462Y+,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
125,4th Generation Intel® Xeon® Scalable Processors,8468,Products formerly Sapphire Rapids,48,Q1'23,Yes,Server,nan,Yes,Yes,1,23
126,4th Generation Intel® Xeon® Scalable Processors,8468H,Products formerly Sapphire Rapids,48,Q1'23,Yes,Server,nan,Yes,Yes,1,23
127,4th Generation Intel® Xeon® Scalable Processors,8468V,Products formerly Sapphire Rapids,48,Q1'23,Yes,Server,nan,Yes,Yes,1,23
128,4th Generation Intel® Xeon® Scalable Processors,8470,Products formerly Sapphire Rapids,52,Q1'23,Yes,Server,nan,Yes,Yes,1,23
129,4th Generation Intel® Xeon® Scalable Processors,8470N,Products formerly Sapphire Rapids,52,Q1'23,Yes,Server,nan,Yes,Yes,1,23
130,4th Generation Intel® Xeon® Scalable Processors,8470Q,Products formerly Sapphire Rapids,52,Q1'23,Yes,Server,nan,Yes,Yes,1,23
131,4th Generation Intel® Xeon® Scalable Processors,8471N,Products formerly Sapphire Rapids,52,Q1'23,Yes,Server,nan,Yes,Yes,1,23
132,4th Generation Intel® Xeon® Scalable Processors,8480+,Products formerly Sapphire Rapids,56,Q1'23,Yes,Server,nan,Yes,Yes,1,23
133,4th Generation Intel® Xeon® Scalable Processors,8490H,Products formerly Sapphire Rapids,60,Q1'23,Yes,Server,nan,Yes,Yes,1,23
134,4th Generation Intel® Xeon® Scalable Processors,5411N,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
135,4th Generation Intel® Xeon® Scalable Processors,5412U,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
136,4th Generation Intel® Xeon® Scalable Processors,5415+,Products formerly Sapphire Rapids,8,Q1'23,Yes,Server,nan,Yes,Yes,1,23
137,4th Generation Intel® Xeon® Scalable Processors,5416S,Products formerly Sapphire Rapids,16,Q1'23,Yes,Server,nan,Yes,Yes,1,23
138,4th Generation Intel® Xeon® Scalable Processors,5418N,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
139,4th Generation Intel® Xeon® Scalable Processors,5418Y,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
140,4th Generation Intel® Xeon® Scalable Processors,5420+,Products formerly Sapphire Rapids,28,Q1'23,Yes,Server,nan,Yes,Yes,1,23
141,4th Generation Intel® Xeon® Scalable Processors,5423N,Products formerly Sapphire Rapids Edge Enhanced,20,Q1'23,Yes,Server,nan,Yes,Yes,1,23
142,4th Generation Intel® Xeon® Scalable Processors,5433N,Products formerly Sapphire Rapids Edge Enhanced,20,Q1'23,Yes,Server,nan,Yes,Yes,1,23
143,4th Generation Intel® Xeon® Scalable Processors,6414U,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
144,4th Generation Intel® Xeon® Scalable Processors,6416H,Products formerly Sapphire Rapids,18,Q1'23,Yes,Server,nan,Yes,Yes,1,23
145,4th Generation Intel® Xeon® Scalable Processors,6418H,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
146,4th Generation Intel® Xeon® Scalable Processors,6421N,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
147,4th Generation Intel® Xeon® Scalable Processors,6426Y,Products formerly Sapphire Rapids,16,Q1'23,Yes,Server,nan,Yes,Yes,1,23
148,4th Generation Intel® Xeon® Scalable Processors,6428N,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
149,4th Generation Intel® Xeon® Scalable Processors,6430,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
150,4th Generation Intel® Xeon® Scalable Processors,6434,Products formerly Sapphire Rapids,8,Q1'23,Yes,Server,nan,Yes,Yes,1,23
151,4th Generation Intel® Xeon® Scalable Processors,6434H,Products formerly Sapphire Rapids,8,Q1'23,Yes,Server,nan,Yes,Yes,1,23
152,4th Generation Intel® Xeon® Scalable Processors,6438M,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
153,4th Generation Intel® Xeon® Scalable Processors,6438N,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
154,4th Generation Intel® Xeon® Scalable Processors,6438Y+,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
155,4th Generation Intel® Xeon® Scalable Processors,6442Y,Products formerly Sapphire Rapids,24,Q1'23,Yes,Server,nan,Yes,Yes,1,23
156,4th Generation Intel® Xeon® Scalable Processors,6444Y,Products formerly Sapphire Rapids,16,Q1'23,Yes,Server,nan,Yes,Yes,1,23
157,4th Generation Intel® Xeon® Scalable Processors,6448H,Products formerly Sapphire Rapids,32,Q1'23,Yes,Server,nan,Yes,Yes,1,23
